id,path,true_name,predicted_name,score,confidence,length_chars,length_words,text_preview
71e3d84aa4e2ec24ed1329f0397670aa09b068a1,data\bilingual\spam\4878.2005-07-14.GP.spam.txt,spam,ham,-1.220619,1.220619,76,22,? ? ? ? 13 ? ? ? ? ? ? ? * ? * ? * ? 234567890 234567890 234567890 234567890
d7a5be914fd88358b78d6398274382848c6aa84d,data\bilingual\spam\4518.2005-05-19.GP.spam.txt,spam,ham,-0.661498,0.661498,101,23,fw : re : he rbv i agr a see the . htm attachment for online purchases and special offers . thank you
c11c802b6a38165c8036ea26a4224d88dfc06fe7,data\bilingual\ham\2342.2000-09-26.farmer.ham.txt,ham,spam,0.555293,0.555293,1359,290,digitize your memories with compaq scanners tired of searching for your photos or important files ? quit looking . we have a solution . we  ' re offering a compaq tested and approved agfa ( tm ) snapscan touch usb scann
7f7eb9f5fe4e3765e1400cf3cf74461c0f656aaa,data\bilingual\ham\1878.2000-08-07.farmer.ham.txt,ham,spam,0.502927,0.502927,75,19,re : table and buffet is it very dark in color ? and how big around is it ?
7de78a7a71a22ff93a6052122df9f2bbf1455a34,data\bilingual\ham\0885.2000-04-07.farmer.ham.txt,ham,spam,0.309134,0.309134,2932,710,"fw : men & cars because i ' m a man , when i lock my keys in the car i will fiddle with a wire clothes hanger and ignore your suggestions that we call a road service until long after hypothermia has set in . because i ' "
4be09662b8e64c8748f99499eb6d2cda1cc0151e,data\bilingual\spam\0391.2004-02-08.GP.spam.txt,spam,ham,-0.278538,0.278538,7166,1273,"cfp : int . conf . on web delivering of music , wedelmusic 2004 , barcelona , spain sorry for any multiple reception of this message . if you do not want to receive further information about wedelmusic 2004 , please send"
d4593ca8459fdbf86e89a5f9ca323bb3e761a8a3,data\bilingual\ham\1523.2000-06-28.farmer.ham.txt,ham,spam,0.229867,0.229867,1437,324,"$ 5 for cd ' s dvd ' s expires soon at half . com * * free $ 5 coupon at half . com * * o half . com is a new site for cds , books , movies , & video games o everything is 50 - 90 % off and you get $ 5 off your first $ 1"
1ed38db73b093d90cfabdd3f071e9aeeba90d129,data\bilingual\ham\5023.2001-10-30.farmer.ham.txt,ham,spam,0.22059,0.22059,2965,620,10 % off ! our gift to you ! [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] sears . com [ image ]
4897cf11f4a8b7c0d693aba511836cf5f5297ed0,data\bilingual\ham\4838.2001-08-24.farmer.ham.txt,ham,spam,0.206831,0.206831,6239,1371,"fw : classic thoughts on texas a & m . . . fox sports show host jim rome 1 ) they won ' t shut up . they have to go on about spirit , and old army , and red ass , and how bonfire represents the burning sensation they hav"
777a0a6a1d44f471ccdc48431957e409e8da16ef,data\bilingual\spam\4908.2005-07-23.GP.spam.txt,spam,ham,-0.197791,0.197791,53,14,"barnhart sat , 23 jul 2005 05 : 28 : 20 + 04005 jnkex"
ed4076638d99cd7ee6166e2315ba029b72f7573f,data\bilingual\ham\2885.2000-11-19.farmer.ham.txt,ham,spam,0.152,0.152,1068,235,"skydive spaceland specials skydive spaceland ? ? november - december specials www . skydivespaceland . com this one  , s for you  (  ( . "" i  , ve always wanted to skydive , but i just can  , t afford it . "" now you"
b7ac3d8dac6bd80b7faa441a5e84ee966d7f083c,data\bilingual\spam\4979.2005-08-06.GP.spam.txt,spam,ham,-0.104315,0.104315,5871,1105,"a better way is at handheldmed . com a new day has dawned . there is a better way ! introducing the new handheldmed website ! www . handheldmed . com whether you are a new customer or an old customer , we redesigned our "
759a9e82e8071cf1e7615d0834bdc7102f29bc49,data\bilingual\spam\1809.2004-08-12.GP.spam.txt,spam,ham,-0.012507,0.012507,1976,328,"re : network at wed , 11 aug 2004 18 : 51 : 29 - 0600 kttihkefi iewmeh ckusty ncibynqrb ohgruv majpgb wed , 11 aug 2004 18 : 51 : 29 - 0600 a pprov a l account statement security control number : 5825 - 3719 - 0357 - 156"
75db6f27ec83d8904d48a5b1daa977e59a8db43f,data\bilingual\ham\0304.2000-02-02.farmer.ham.txt,ham,spam,0.01115,0.01115,80,19,y 2 k pbas the y 2 k pbas will be available for distribution on february 15 th .
09358812caada7eef13ac00e33d905dfa962fa02,data\bilingual\spam\1957.2004-08-23.GP.spam.txt,spam,ham,-0.009193,0.009193,2753,531,"didn ' t make the alumni list ? you deserve a co / llege dipl / oma missing a piece of paper with a few letters after your name ? get your bachelors now no more school , just get what you deserve fig . 1 - simi? magnatum"
1e9fd2698e525895ba91188174c3888b64e9b3bd,data\bilingual\spam\4326.2005-04-20.GP.spam.txt,spam,ham,-0.008758,0.008758,145,30,re : encrypted mail for more details see the attachment . + + + attachment : no virus found + + + bitdefender antivirus - www . bitdefender . com
